sequence,semantic,filter,trial,trajectory_lines,ate_rmse_m,rpe_rmse_m_per_frame,actual_fps,removed_associations,applied_frames,maximum_fraction_fail_open_frames
fr1_xyz,0,control,1,792,0.009707,0.005757,29.6427,0,0,0
fr1_xyz,0,q6,1,792,0.009851,0.005857,29.6367,957,299,0
fr1_xyz,0,q8,1,792,0.009687,0.005789,29.6500,423,167,0
fr1_xyz,0,q10,1,792,0.009829,0.005857,29.6402,331,139,0
fr3_walking_xyz,0,control,1,663,0.933308,0.026699,28.4743,0,0,0
fr3_walking_xyz,0,q6,1,827,0.816355,0.027802,28.3918,1481,221,37
fr3_walking_xyz,0,q8,1,827,0.907163,0.026498,28.2858,742,124,12
fr3_walking_xyz,0,q10,1,675,0.507751,0.076147,28.4545,214,68,2
fr3_walking_xyz,0,control,2,827,0.826413,0.027662,28.3775,0,0,0
fr3_walking_xyz,0,q6,2,564,0.635413,0.028102,28.5297,476,111,9
fr3_walking_xyz,0,q8,2,827,0.933473,0.026117,28.3057,837,139,9
fr3_walking_xyz,0,q10,2,802,0.713507,0.037790,28.5560,636,106,8
fr3_walking_xyz,0,control,3,772,0.598882,0.041252,28.5478,0,0,0
fr3_walking_xyz,0,q6,3,827,0.591326,0.025301,28.2931,1421,221,36
fr3_walking_xyz,0,q8,3,827,0.707714,0.026988,28.3899,703,125,25
fr3_walking_xyz,0,q10,3,678,0.746962,0.052604,28.2837,286,61,3
fr3_walking_xyz,1,semantic_control,1,827,0.020793,0.012838,27.5133,0,0,0
fr3_walking_xyz,1,q6,1,827,0.016629,0.011916,27.3397,1498,399,5
fr3_walking_xyz,1,q8,1,827,0.014464,0.011505,27.1619,1054,294,1
fr3_walking_xyz,1,q10,1,827,0.015398,0.012158,27.2969,555,196,0
fr3_walking_xyz,1,semantic_control,2,827,0.015598,0.012224,27.2570,0,0,0
fr3_walking_xyz,1,q6,2,827,0.014710,0.011501,27.3313,1522,399,5
fr3_walking_xyz,1,q8,2,827,0.016116,0.011923,27.3607,898,279,1
fr3_walking_xyz,1,q10,2,827,0.015462,0.011986,27.3472,611,210,0
fr3_walking_xyz,1,semantic_control,3,827,0.017699,0.011996,27.4836,0,0,0
fr3_walking_xyz,1,q6,3,827,0.014927,0.011882,27.4259,1493,392,5
fr3_walking_xyz,1,q8,3,827,0.017474,0.012385,27.6328,847,279,1
fr3_walking_xyz,1,q10,3,827,0.017539,0.011942,27.4149,537,199,0
fr3_sitting_static,1,semantic_control,1,680,0.006695,0.005765,27.6990,0,0,0
fr3_sitting_static,1,q6,1,680,0.006633,0.005527,27.9113,113,61,0
fr3_sitting_static,1,q8,1,680,0.006553,0.005600,27.9425,44,29,0
fr3_sitting_static,1,q10,1,680,0.006913,0.005468,27.9492,21,16,0
fr3_sitting_static,1,semantic_control,2,680,0.006775,0.005605,27.9490,0,0,0
fr3_sitting_static,1,q6,2,680,0.006783,0.005554,27.9269,106,54,0
fr3_sitting_static,1,q8,2,680,0.007292,0.005830,27.9231,39,29,0
fr3_sitting_static,1,q10,2,680,0.006318,0.005419,27.9046,19,15,0
fr3_sitting_static,1,semantic_control,3,680,0.007021,0.005557,27.9311,0,0,0
fr3_sitting_static,1,q6,3,680,0.006463,0.005449,27.9379,158,63,0
fr3_sitting_static,1,q8,3,680,0.007034,0.005543,27.9602,41,30,0
fr3_sitting_static,1,q10,3,680,0.006547,0.005721,27.9092,28,19,0
bonn_balloon,1,semantic_control,1,438,0.035213,0.040803,29.5356,0,0,0
bonn_balloon,1,q6,1,438,0.030841,0.041780,29.5087,965,186,0
bonn_balloon,1,q8,1,438,0.028528,0.041176,29.5849,464,140,1
bonn_balloon,1,q10,1,438,0.031041,0.040974,29.4915,285,105,0
bonn_balloon,1,semantic_control,2,438,0.032605,0.041133,29.4807,0,0,0
bonn_balloon,1,q6,2,438,0.033275,0.042204,29.4437,894,186,0
bonn_balloon,1,q8,2,438,0.030505,0.040231,29.5427,526,172,0
bonn_balloon,1,q10,2,438,0.032027,0.041027,29.4670,301,110,0
bonn_balloon,1,semantic_control,3,438,0.032011,0.040905,29.5981,0,0,0
bonn_balloon,1,q6,3,438,0.029611,0.040702,29.4763,859,198,5
bonn_balloon,1,q8,3,438,0.033535,0.041528,29.5699,498,157,0
bonn_balloon,1,q10,3,438,0.032313,0.040831,29.4326,281,101,0
