sequence,trial,expected_frames,trajectory_frames,ate_rmse_m,rpe_rmse_m_per_frame,actual_fps,mapping_events,applied_events,fail_open_events,candidate_features,new_dynamic_flags,vetoed_depth_features,created_mappoints,candidate_created_in_fail_open,invariant_violations
walking,1,827,827,0.016005,0.012164,27.4923,247,81,14,767,527,510,26054,208,0
walking,2,827,827,0.017864,0.012589,27.4793,259,88,20,1061,643,606,26957,386,0
walking,3,827,827,0.019218,0.012343,27.4535,274,88,17,857,601,564,27946,222,0
sitting_static,1,680,680,0.006517,0.005669,27.9058,15,2,6,7,5,3,2983,2,0
sitting_static,2,680,680,0.006639,0.005404,27.8893,16,1,7,1,1,1,3176,0,0
sitting_static,3,680,680,0.006596,0.005877,27.8903,15,1,6,1,1,1,2957,0,0
bonn_balloon,1,438,438,0.033468,0.041264,29.5273,48,18,5,191,188,175,10860,1,0
bonn_balloon,2,438,438,0.032519,0.041221,29.5716,52,27,5,237,236,222,11863,0,0
bonn_balloon,3,438,438,0.030771,0.041888,29.538,52,25,5,199,199,192,11514,0,0
fr1_xyz,1,792,792,0.009643,0.005777,29.6374,76,27,6,124,119,84,29361,5,0
fr1_xyz,2,792,792,0.00984,0.005974,29.6243,71,21,6,60,55,40,27193,5,0
fr1_xyz,3,792,792,0.009302,0.00576,29.6212,75,20,6,49,44,43,28992,5,0
