sequence,trial,mode,ate_rmse_m,rpe_rmse_m_per_frame,actual_fps,trajectory_poses,final_mappoints,final_keyframes,final_observations,candidate_created,candidate_resolved_survivors,candidate_proxy_survival_ratio,mapping_applied_rows,vetoed_valid_depth
tum_fr3_walking_xyz,1,g1_m0_counterfactual,0.019535630126,0.012335083508,27.4019,827,1161,77,12362,711,14,0.019690576653,0,0
tum_fr3_walking_xyz,1,g1_m1_filter,0.016745076868,0.012331486016,27.2702,827,1337,104,17150,174,5,0.028735632184,103,707
tum_fr3_walking_xyz,2,g1_m0_counterfactual,0.017466282760,0.011765120153,27.1476,827,1479,99,17753,724,26,0.035911602210,0,0
tum_fr3_walking_xyz,2,g1_m1_filter,0.015946475110,0.012630792493,27.3005,827,1445,96,16266,248,19,0.076612903226,92,662
tum_fr3_walking_xyz,3,g1_m0_counterfactual,0.019059338818,0.012814933142,27.3404,827,1208,98,14231,665,25,0.037593984962,0,0
tum_fr3_walking_xyz,3,g1_m1_filter,0.017908140548,0.012486303891,27.4375,827,1367,92,16520,146,5,0.034246575342,86,553
tum_fr1_xyz,1,g1_m0_counterfactual,0.009563170693,0.005758451136,29.6275,792,2474,43,26217,69,5,0.072463768116,0,0
tum_fr1_xyz,1,g1_m1_filter,0.009582661431,0.005791412267,29.6206,792,2600,43,26264,5,1,0.200000000000,22,92
bonn_balloon,1,g1_m0_counterfactual,0.032724501733,0.040989312291,29.2626,438,2209,46,26405,181,5,0.027624309392,0,0
bonn_balloon,1,g1_m1_filter,0.033792310356,0.041605387262,29.2945,438,2116,45,26139,0,0,0.000000000000,25,226
tum_fr3_sitting_static,1,g1_m0_counterfactual,0.007183783633,0.005785238571,27.5339,680,623,14,6005,1,0,0.000000000000,0,0
tum_fr3_sitting_static,1,g1_m1_filter,0.005749570751,0.004902122143,27.7349,680,691,15,6861,2,0,0.000000000000,0,0
